raw_index,raw_column_header,category,question_ref,parent_ref,response_type,scope,output_name,notes
0,Device Info,keep_metadata,,,,,device_info,
1,start,keep_metadata,,,,,interview_start,
2,end,keep_metadata,,,,,interview_end,
3,Username,keep_metadata,,,,,enumerator,
4,Region,keep_metadata,,,,,region,
5,Country,keep_metadata,,,,,country,
6,What is the client's ID number in our systems?,keep_metadata,,,,,client_id,
7,To which branch does the client belong?,keep_metadata,,,,,branch,
8,Insurance_Type,keep_metadata,,,insurance_type_routing,,insurance_type_raw,Key filter for type-specific section responses
9,"Before we start, I would like to explain this survey.

VisionFund is collecting this information to understand how our services affect our clients and to improve our products.

Your participation is voluntary. Your answers will not affect your loan, insurance, or any other VisionFund services in any way.

Your responses will be kept confidential and analyzed together with other clients’ answers. We will not share your name or personal details in reports.

We may share anonymized survey data with trusted research or analysis partners to help us understand client experiences and improve our services.

You may skip any question, stop the survey at any time, or ask for your data to be deleted later.

Do you agree to participate in this survey?",drop_scaffold,,,,,,Consent field; all respondents agreed — effectively constant
10,This section includes questions on the extent to which you understand the terms of insurance and claims.,drop_scaffold,,,,,,Section header for understanding module
11,How would you rate your understanding of what your insurance covers?,question_ref,q_coverage_understanding,,likert4,,,
12,How you would you rate your understanding of how to make a claim?,question_ref,q_claim_process_understanding,,likert4,,,
13,Which communication channel is the most effective in increasing your awareness and understanding of the claims process?,question_ref,q_comm_channel_effective,,multi_select_parent,,,Multi-select parent; binary children in cols 14–20
14,Which communication channel is the most effective in increasing your awareness and understanding of the claims process?/a. In-person explanation from MFI staff/loan officer,multi_select_child,,q_comm_channel_effective,,,,Binary (0/1) child
15,Which communication channel is the most effective in increasing your awareness and understanding of the claims process?/b. Group meeting,multi_select_child,,q_comm_channel_effective,,,,Binary (0/1) child
16,Which communication channel is the most effective in increasing your awareness and understanding of the claims process?/c. SMS/WhatsApp messages from the MFI,multi_select_child,,q_comm_channel_effective,,,,Binary (0/1) child
17,"Which communication channel is the most effective in increasing your awareness and understanding of the claims process?/d. Printed materials (leaflets, posters, brochures)",multi_select_child,,q_comm_channel_effective,,,,Binary (0/1) child
18,Which communication channel is the most effective in increasing your awareness and understanding of the claims process?/e. Phone call from the MFI,multi_select_child,,q_comm_channel_effective,,,,Binary (0/1) child
19,Which communication channel is the most effective in increasing your awareness and understanding of the claims process?/f. Email from the MFI,multi_select_child,,q_comm_channel_effective,,,,Binary (0/1) child
20,Which communication channel is the most effective in increasing your awareness and understanding of the claims process?/g. Other (please specify),multi_select_child,,q_comm_channel_effective,,,,Binary (0/1) child
21,"If other, please specify:",free_text_child,,q_comm_channel_effective,,,,Other-specify follow-up to /g option (col 20)
22,Which channel do you prefer most for submitting insurance claims?,question_ref,q_claim_channel_preferred,,single_select,,,Single-select
23,"If other, please specify:",free_text_child,,q_claim_channel_preferred,,,,Other-specify follow-up to col 22
24,I will now ask you questions regarding your experience when making an insurance claim.,drop_scaffold,,,,,,Transition sentence
25,"In the last 12 months, did you experience an event that might be covered by your insurance?",question_ref,q_insured_event_12m,,binary,,,
26,[If Yes] Did you submit an insurance claim for that event?,question_ref,q_claim_submitted,,binary,,,Conditional on col 25 = Yes
27,"[If No, did not submit an insurance claim] What was the main reason you did not submit an insurance claim for this event?",question_ref,q_no_claim_reason,,single_select,,,Conditional on col 26 = No; single-select
28,"If other, please specify:",free_text_child,,q_no_claim_reason,,,,Other-specify follow-up to col 27
29,"[If Yes, submitted a claim] What was the result of the claim?",question_ref,q_claim_result,,single_select,,,Conditional on col 26 = Yes
30,"If [Claim was approved and paid] Considering all costs related to the event, how much of the cost did the insurance payout cover?",question_ref,q_payout_cost_coverage,,single_select,,,Conditional on col 29 = approved/paid
31,[If filed a claim] Have you experienced any challenges with the claim process?,question_ref,q_claim_challenges_experienced,,binary,,,Conditional on col 26 = Yes
32,[If yes] What challenges did you experience with the claim process?,question_ref,q_claim_challenges,,multi_select_parent,,,Multi-select parent; binary children in cols 33–38
33,[If yes] What challenges did you experience with the claim process?/a. Claim documents were difficult to collect from hospitals or authorities,multi_select_child,,q_claim_challenges,,,,Binary (0/1) child
34,[If yes] What challenges did you experience with the claim process?/b. Claim documents were difficult to submit,multi_select_child,,q_claim_challenges,,,,Binary (0/1) child
35,[If yes] What challenges did you experience with the claim process?/c. It was difficult to know the status of the claim once documents were submitted,multi_select_child,,q_claim_challenges,,,,Binary (0/1) child
36,[If yes] What challenges did you experience with the claim process?/d. It took a long time to receive the claim amount,multi_select_child,,q_claim_challenges,,,,Binary (0/1) child
37,[If yes] What challenges did you experience with the claim process?/e. I did not receive enough support or guidance on the claim process,multi_select_child,,q_claim_challenges,,,,Binary (0/1) child
