"Device Info";"start";"end";"Username";"Region";"Country";"What is the client's ID number in our systems?";"To which branch does the client belong?";"Insurance_Type";"Before we start, I would like to explain this survey.

VisionFund is collecting this information to understand how our services affect our clients and to improve our products.

Your participation is voluntary. Your answers will not affect your loan, insurance, or any other VisionFund services in any way.

Your responses will be kept confidential and analyzed together with other clients’ answers. We will not share your name or personal details in reports.

We may share anonymized survey data with trusted research or analysis partners to help us understand client experiences and improve our services.

You may skip any question, stop the survey at any time, or ask for your data to be deleted later.

Do you agree to participate in this survey?";"This section includes questions on the extent to which you understand the terms of insurance and claims.";"How would you rate your understanding of what your insurance covers?";"How you would you rate your understanding of how to make a claim?";"Which communication channel is the most effective in increasing your awareness and understanding of the claims process?";"Which communication channel is the most effective in increasing your awareness and understanding of the claims process?/a. In-person explanation from MFI staff/loan officer";"Which communication channel is the most effective in increasing your awareness and understanding of the claims process?/b. Group meeting";"Which communication channel is the most effective in increasing your awareness and understanding of the claims process?/c. SMS/WhatsApp messages from the MFI";"Which communication channel is the most effective in increasing your awareness and understanding of the claims process?/d. Printed materials (leaflets, posters, brochures)";"Which communication channel is the most effective in increasing your awareness and understanding of the claims process?/e. Phone call from the MFI";"Which communication channel is the most effective in increasing your awareness and understanding of the claims process?/f. Email from the MFI";"Which communication channel is the most effective in increasing your awareness and understanding of the claims process?/g. Other (please specify)";"If other, please specify:";"Which channel do you prefer most for submitting insurance claims?";"If other, please specify:";"I will now ask you questions regarding your experience when making an insurance claim.";"In the last 12 months, did you experience an event that might be covered by your insurance?";"[If Yes] Did you submit an insurance claim for that event?";"[If No, did not submit an insurance claim] What was the main reason you did not submit an insurance claim for this event?";"If other, please specify:";"[If Yes, submitted a claim] What was the result of the claim?";"If [Claim was approved and paid] Considering all costs related to the event, how much of the cost did the insurance payout cover?";"[If filed a claim] Have you experienced any challenges with the claim process?";"[If yes] What challenges did you experience with the claim process?";"[If yes] What challenges did you experience with the claim process?/a. Claim documents were difficult to collect from hospitals or authorities";"[If yes] What challenges did you experience with the claim process?/b. Claim documents were difficult to submit";"[If yes] What challenges did you experience with the claim process?/c. It was difficult to know the status of the claim once documents were submitted";"[If yes] What challenges did you experience with the claim process?/d. It took a long time to receive the claim amount";"[If yes] What challenges did you experience with the claim process?/e. I did not receive enough support or guidance on the claim process";"[If yes] What challenges did you experience with the claim process?/f. Other (specify)";"If other, please specify:";"[If e] What specific support would you need to make the claims process easier?";"[If yes to experiencing an insured event] Because of the event, did you have to do any of the following?";"[If yes to experiencing an insured event] Because of the event, did you have to do any of the following?/a. Use savings";"[If yes to experiencing an insured event] Because of the event, did you have to do any of the following?/b. Borrow money";"[If yes to experiencing an insured event] Because of the event, did you have to do any of the following?/c. Sell assests or livestock";"[If yes to experiencing an insured event] Because of the event, did you have to do any of the following?/d. Reduce food consumption or essential spending";"[If yes to experiencing an insured event] Because of the event, did you have to do any of the following?/e. Take your children out of school";"[If yes to experiencing an insured event] Because of the event, did you have to do any of the following?/f. Closed business temporarily";"[If yes to experiencing an insured event] Because of the event, did you have to do any of the following?/g. None of the above";"[If yes to experiencing an insured event] Because of the event, did you have to do any of the following?/h. Other (specify)";"If other, please specify:";"This section includes questions related to additional services offered in the insurance.";"In the past 12 months, which of the following services did you use?";"In the past 12 months, which of the following services did you use?/a. Teleconsultation - doctor by phone (general or specialized such as psychologist, nutritionist)";"In the past 12 months, which of the following services did you use?/b. Face to face consultations (general or specialized such as dental, opthalmology)";"In the past 12 months, which of the following services did you use?/c. Access to medicines (discounts or free)";"In the past 12 months, which of the following services did you use?/d. Lab examination/lab test";"In the past 12 months, which of the following services did you use?/e. Health events (mobile clinic, orange ambulance, medical brigades, etc.)";"In the past 12 months, which of the following services did you use?/f. None";"In the past 12 months, which of the following services did you use?/g. Other: please specify";"If other, please specify:";"If [did access the services] did the services help you as you wanted?";"I will now ask you questions on how the insurance has impacted the wellbeing of your children and finances.";"How much does the insurance help reduce your financial stress?";"Since taking the insurance product from VisionFund, has the wellbeing of the children you support improved?";"[If a] What improved for your children since having the insurance product?";"[If a] What improved for your children since having the insurance product?/a. Improved access to healthcare treatment and diagnosis";"[If a] What improved for your children since having the insurance product?/b. Reduced out-of-pocket expenses that helped us maintain nutritious and sufficient meals.";"[If a] What improved for your children since having the insurance product?/c. Fewer school days missed due to improved health";"[If a] What improved for your children since having the insurance product?/d. Reduced need to work extra hours after a shock, allowing more time to spend with children";"[If a] What improved for your children since having the insurance product?/e. Ability to continue normal daily activities (play, social life, learning)";"[If a] What improved for your children since having the insurance product?/f. Increased savings after loss helped meet the children’s needs including clothing, shoes, and school supplies";"[If a] What improved for your children since having the insurance product?/g. Other (please specify)";"If other, please specify:";"This section includes questions on your level of satisfaction with your interaction with VisionFund, their products or services.";"On a scale of 0-10, how likely are you to recommend the VisionFund Insurance to a friend or family member, where 0 is not at all likely and 10 is extremely likely?";"[If 0-6] What actions could VisionFund take to make you more likely to recommend the insurance product to a friend or family member?";"[If 7-8] What specifically about the VisionFund  Insurance caused you to give it the score that you did?";"[If 9-10] What specifically about the VisionFund Insurance would cause you to recommend it to a friend or family member?";"Considering the benefits and the cost of your insurance, do you feel the insurance is worth what you pay?";"If you had to pay the full insurance premium yourself, in the amount of 700,000 VND/hectare per year, would you renew this policy after it expires?";"How confident are you that the insurance will pay when something serious happens?";"I will now ask you questions about your levels of access to insurance services before and after VisionFund.";"Before VisionFund, did you have access to an insurance like VisionFund provides?";"If you could no longer access insurance from VisionFund, how easily could you get a comparable insurance product with another organization?";"This section includes specific questions related to your health insurance.";"Since having the insurance, were you or any member of your household able to seek medical care more easily?";"Compared to a similar illness before you had insurance, have your out-of-pocket medical costs changed because of the insurance? It has become…";"This section includes specific questions related to your Crop insurance.";"After the weather shock, since having the insurance, how quickly were you able to recover and continue earning income?";"Since having a crop insurance, has your approach to farming changed (e.g., choice of crops, input investment, or planting practices)?";"This section includes specific questions related to your Credit Life insurance.";"Besides the protection in case of death or disability, which other insurance benefits are included with your Credit insurance?";"Besides the protection in case of death or disability, which other insurance benefits are included with your Credit insurance?/a. Help with medical or hospital costs";"Besides the protection in case of death or disability, which other insurance benefits are included with your Credit insurance?/b. Help when crops or income are affected by weather (drought, flood, etc.)";"Besides the protection in case of death or disability, which other insurance benefits are included with your Credit insurance?/c. Help when property or business assets are damaged";"Besides the protection in case of death or disability, which other insurance benefits are included with your Credit insurance?/d. No other benefits are included";"Besides the protection in case of death or disability, which other insurance benefits are included with your Credit insurance?/e. I am not sure";"Most MFIs that provide a Credit Insurance only cover the outstanding loan amount in case of the death or disability of the borrower. How valuable are the additional benefits of this enhanced credit insurance to you?";"Lastly, I will be asking questions about you and your household.";"What is the client's age?";"What is the client's education level?";"What is the client's household size?";"What is the client's sex?";"Does anyone in your household experience serious difficulty in any of the following areas: seeing, hearing, walking or climbing steps, remembering or concentrating, self-care, or communicating?";"In the last 6 months, which services have you received from VisionFund apart from your insurance policy?";"In the last 6 months, which services have you received from VisionFund apart from your insurance policy?/a. Loans";"In the last 6 months, which services have you received from VisionFund apart from your insurance policy?/b. Savings Accounts";"In the last 6 months, which services have you received from VisionFund apart from your insurance policy?/c. Financial Education";"In the last 6 months, which services have you received from VisionFund apart from your insurance policy?/d. Health Services (telemedicine, education etc.)";"In the last 6 months, which services have you received from VisionFund apart from your insurance policy?/e. None";"In the last 6 months, which services have you received from VisionFund apart from your insurance policy?/f. Other (please specify)";"If other, please specify:";"What are your main sources of income?";"What are your main sources of income?/a. Crop agriculture business";"What are your main sources of income?/b. Livestock agriculture business";"What are your main sources of income?/c. Trading/Wholesale/Retail (e.g., retail shop)";"What are your main sources of income?/d. Manufacturing (e.g., maker of furniture)";"What are your main sources of income?/e. Service provision business (e.g., salon, skilled/casual laborer, or transport business)";"What are your main sources of income?/f. Salaried wage-earner";"What are your main sources of income?/g. Remittances, donations, and government subsidy/assitance";"What are your main sources of income?/h. Other (please specify)";"If other, please specify:";"Thank you very much for your time. We will use this information to improve our services to you and future clients. Have a great day!";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"_tags";"_index"
"collect:uKJuWJrIah8r2IDP";"2026-03-18T15:44:17.117+02:00";"2026-05-11T09:51:44.615+03:00";"tiyanjane_thomo";"AFRICA";"Malawi";"27640";"MULANJE";"Health Insurance";"a. Yes, I agree to participate";"";"b. Good";"b. Good";"a. In-person explanation from MFI staff/loan officer";"1";"0";"0";"0";"0";"0";"0";"";"a. Through an MFI officer coming to collect the documents";"";"";"b. No";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"a. Significantly reduced";"b. No";"";"";"";"";"";"";"";"";"";"";"8";"";"I can only explain when a member  is sick";"";"a. Definitely worth it";"";"a. Very confident";"";"b. No";"a. Very difficult";"";"b. No";"f. Not applicable (I have not needed medical care)";"";"";"";"";"";"";"";"";"";"";"";"";"38";"b. Upper Secondary";"b. 4-6 People";"b. Female";"b. No";"a. Loans";"1";"0";"0";"0";"0";"0";"";"c. Trading/Wholesale/Retail (e.g., retail shop)";"0";"0";"1";"0";"0";"0";"0";"0";"";"";"27995";"2331eecc-2f4f-481a-8c71-2968460b70b2";"2026-03-18T14:32:38";"";"";"submitted_via_web";"tiyanjane_thomo";"";"1"
"collect:wUmA6WO67fm7beNh";"2026-03-19T10:59:20.122+02:00";"2026-03-19T11:25:34.497+02:00";"edward_namagonya";"AFRICA";"Malawi";"HK26776038";"NTCHEU";"Health Insurance";"a. Yes, I agree to participate";"";"a. Very good";"a. Very good";"b. Group meeting a. In-person explanation from MFI staff/loan officer";"1";"1";"0";"0";"0";"0";"0";"";"c. Whatsapp or other messages applications";"";"";"b. No";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"b. Somewhat reduced";"b. No";"";"";"";"";"";"";"";"";"";"";"10";"";"";"Insurance from VisionFund is extremely important because it provides a reliable safety net when unexpected emergencies arise. Life is unpredictable, and challenges such as illness, accidents, or financial shocks can happen at any time. Having insurance ensures that you are not left vulnerable during these difficult moments, as it offers financial support and stability when you need it most.
What makes it even more valuable is the peace of mind it brings, you can plan your life and investments knowing that there is a fallback plan in place. Instead of worrying about how to recover from sudden problems, you can focus on moving forward with confidence. Because of this strong sense of security and preparedness, I would confidently rate VisionFund insurance a 10 out of 10.
";"a. Definitely worth it";"";"a. Very confident";"";"b. No";"b. Slightly difficult";"";"c. Not applicable (I/my family have not needed medical care)";"a. Much lower";"";"";"";"";"";"";"";"";"";"";"";"";"32";"d. Primary";"b. 4-6 People";"a. Male";"b. No";"a. Loans c. Financial Education";"1";"0";"1";"0";"0";"0";"";"c. Trading/Wholesale/Retail (e.g., retail shop)";"0";"0";"1";"0";"0";"0";"0";"0";"";"";"28055";"0db1d9d3-d3a8-4659-a575-4e0cb2258298";"2026-03-19T09:25:42";"";"";"submitted_via_web";"edward_namagonya";"";"2"
"collect:wUmA6WO67fm7beNh";"2026-03-19T10:24:23.192+02:00";"2026-04-09T16:33:15.272+03:00";"edward_namagonya";"AFRICA";"Malawi";"WL26776832";"NTCHEU";"Health Insurance";"a. Yes, I agree to participate";"";"b. Good";"b. Good";"b. Group meeting";"0";"1";"0";"0";"0";"0";"0";"";"c. Whatsapp or other messages applications";"";"";"a. Yes";"b. No";"e. I was not covered at that time";"";"";"";"";"";"";"";"";"";"";"";"";"";"b. Borrow money";"0";"1";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"a. Significantly reduced";"a. Yes";"f. Increased savings after loss helped meet the children’s needs including clothing, shoes, and school supplies a. Improved access to healthcare treatment and diagnosis";"1";"0";"0";"0";"0";"1";"0";"";"";"6";"While the initiative shows good intentions and has the potential to help people during difficult times, its overall impact feels quite limited. It can be useful in certain situations, especially if someone is already facing challenges, and it does offer some level of support. However, it may not be as reliable or comprehensive as expected, which makes it harder to fully depend on in more serious or urgent circumstances.Because of these shortcomings, my confidence in how effective it would be in consistently addressing problems is fairly low. Although it is a positive idea in principle, its practical value does not always match expectations. For that reason, I would rate it a 6 out of 10.";"";"";"a. Definitely worth it";"";"a. Very confident";"";"b. No";"d. Slightly easy";"";"c. Not applicable (I/my family have not needed medical care)";"f. Not applicable (I have not needed medical care)";"";"";"";"";"";"";"";"";"";"";"";"";"32";"d. Primary";"b. 4-6 People";"b. Female";"b. No";"a. Loans";"1";"0";"0";"0";"0";"0";"";"d. Manufacturing (e.g., maker of furniture)";"0";"0";"0";"1";"0";"0";"0";"0";"";"";"28076";"4970d800-b938-4c18-94d9-081d23ee8506";"2026-03-19T10:24:24";"";"";"submitted_via_web";"edward_namagonya";"";"3"
"collect:wUmA6WO67fm7beNh";"2026-03-19T12:25:40.541+02:00";"2026-03-19T13:23:48.241+02:00";"edward_namagonya";"AFRICA";"Malawi";"MM24664009";"MZUZU";"Health Insurance";"a. Yes, I agree to participate";"";"c. Poor";"c. Poor";"c. SMS/WhatsApp messages from the MFI";"0";"0";"1";"0";"0";"0";"0";"";"c. Whatsapp or other messages applications";"";"";"b. No";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"c. No effect";"b. No";"";"";"";"";"";"";"";"";"";"";"4";"I’ve heard positive feedback from others who say the insurance can be helpful in times of need, which suggests it does provide some value in certain situations. However, I personally struggle to see its necessity, as I’m not fully convinced that it would make a meaningful difference when I actually need support, In addition, the cost of maintaining the insurance feels difficult to justify, especially when the benefits are not clearly visible or immediately impactful. Because of this uncertainty and lack of trust in its overall value, I find it hard to fully support or rely on it.
";"";"";"c. Neither worth it nor not worth it";"";"e. Not confident at all";"";"a. Yes";"e. Very easy";"";"c. Not applicable (I/my family have not needed medical care)";"f. Not applicable (I have not needed medical care)";"";"";"";"";"";"";"";"";"";"";"";"";"30";"d. Primary";"b. 4-6 People";"b. Female";"b. No";"a. Loans";"1";"0";"0";"0";"0";"0";"";"c. Trading/Wholesale/Retail (e.g., retail shop)";"0";"0";"1";"0";"0";"0";"0";"0";"";"";"28093";"fa80c7b5-6bbe-4241-925d-c4b101064381";"2026-03-19T11:23:57";"";"";"submitted_via_web";"edward_namagonya";"";"4"
"collect:wUmA6WO67fm7beNh";"2026-03-19T13:25:12.197+02:00";"2026-05-04T11:15:25.069+02:00";"edward_namagonya";"AFRICA";"Malawi";"MM20494227";"MULANJE";"Health Insurance";"a. Yes, I agree to participate";"";"d. Very poor";"c. Poor";"b. Group meeting";"0";"1";"0";"0";"0";"0";"0";"";"c. Whatsapp or other messages applications";"";"";"b. No";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"a. Significantly reduced";"b. No";"";"";"";"";"";"";"";"";"";"";"8";"";"I wouldn’t rate it a 10 out of 10 because I haven’t personally experienced a situation where I’ve needed to rely on insurance, so I don’t feel fully confident in how well it would work in practice. Without that firsthand experience, it’s difficult to completely trust its effectiveness. However, I can still recognize its potential value. In situations where unexpected challenges arise especially when finances are limited having insurance could provide a much-needed safety net and help you recover without falling into deeper financial difficulty. It offers a sense of security by ensuring that, even in tough times, there is some form of support to fall back on.";"";"a. Definitely worth it";"";"d. Somewhat not confident";"";"b. No";"e. Very easy";"";"c. Not applicable (I/my family have not needed medical care)";"f. Not applicable (I have not needed medical care)";"";"";"";"";"";"";"";"";"";"";"";"";"42";"d. Primary";"b. 4-6 People";"b. Female";"b. No";"a. Loans";"1";"0";"0";"0";"0";"0";"";"h. Other (please specify)";"0";"0";"0";"0";"0";"0";"0";"1";"Runs an Airtel money bureau and sells donuts.";"";"28100";"2328f844-af28-4b30-b0db-f4494b9dcde1";"2026-03-19T11:53:54";"";"";"submitted_via_web";"edward_namagonya";"";"5"
"collect:I77spbebXJj0hawZ";"2026-03-19T12:31:55.704+02:00";"2026-03-19T13:38:42.940+02:00";"idah_golowa";"AFRICA";"Malawi";"YM25555757";"MULANJE";"Health Insurance";"a. Yes, I agree to participate";"";"a. Very good";"a. Very good";"a. In-person explanation from MFI staff/loan officer e. Phone call from the MFI";"1";"0";"0";"0";"1";"0";"0";"";"a. Through an MFI officer coming to collect the documents";"";"";"b. No";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"a. Significantly reduced";"a. Yes";"a. Improved access to healthcare treatment and diagnosis e. Ability to continue normal daily activities (play, social life, learning) f. Increased savings after loss helped meet the children’s needs including clothing, shoes, and school supplies";"1";"0";"0";"0";"1";"1";"0";"";"";"9";"";"";"It  covers unexpected medical cost and protects assests";"a. Definitely worth it";"";"a. Very confident";"";"b. No";"a. Very difficult";"";"b. No";"a. Much lower";"";"";"";"";"";"";"";"";"";"";"";"";"45";"b. Upper Secondary";"b. 4-6 People";"a. Male";"b. No";"a. Loans";"1";"0";"0";"0";"0";"0";"";"a. Crop agriculture business e. Service provision business (e.g., salon, skilled/casual laborer, or transport business)";"1";"0";"0";"0";"1";"0";"0";"0";"";"";"28112";"1d769140-daa8-43bd-9e02-a5a6a5929dee";"2026-03-19T12:32:24";"";"";"submitted_via_web";"ida_golowa";"";"6"
"collect:I77spbebXJj0hawZ";"2026-03-19T13:49:05.607+02:00";"2026-03-19T14:34:58.141+02:00";"ida_golowa";"AFRICA";"Malawi";"CM24076054";"MULANJE";"Health Insurance";"a. Yes, I agree to participate";"";"a. Very good";"a. Very good";"a. In-person explanation from MFI staff/loan officer";"1";"0";"0";"0";"0";"0";"0";"";"a. Through an MFI officer coming to collect the documents";"";"";"b. No";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"a. Significantly reduced";"a. Yes";"a. Improved access to healthcare treatment and diagnosis e. Ability to continue normal daily activities (play, social life, learning)";"1";"0";"0";"0";"1";"0";"0";"";"";"9";"";"";"It gives  peace  of mind and support  during  tough times";"a. Definitely worth it";"";"a. Very confident";"";"b. No";"a. Very difficult";"";"b. No";"a. Much lower";"";"";"";"";"";"";"";"";"";"";"";"";"37";"c. Lower Secondary";"b. 4-6 People";"b. Female";"a. Yes";"a. Loans";"1";"0";"0";"0";"0";"0";"";"e. Service provision business (e.g., salon, skilled/casual laborer, or transport business)";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"28114";"95fe35cb-6746-4a86-9763-96de366924b3";"2026-03-19T12:36:43";"";"";"submitted_via_web";"ida_golowa";"";"7"
"collect:wUmA6WO67fm7beNh";"2026-03-19T14:38:28.072+02:00";"2026-03-19T14:57:27.332+02:00";"edward_namagonya";"AFRICA";"Malawi";"GG27152756";"MZUZU";"Health Insurance";"a. Yes, I agree to participate";"";"c. Poor";"c. Poor";"e. Phone call from the MFI a. In-person explanation from MFI staff/loan officer";"1";"0";"0";"0";"1";"0";"0";"";"d. Directly at VisionFund office/ counter";"";"";"b. No";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"a. Significantly reduced";"a. Yes";"f. Increased savings after loss helped meet the children’s needs including clothing, shoes, and school supplies a. Improved access to healthcare treatment and diagnosis";"1";"0";"0";"0";"0";"1";"0";"";"";"8";"";"I would give this initiative a high rating because it is very helpful, and I am confident that if I needed support after an illness, the insurance would step in and cover the necessary costs. This gives me a sense of security, knowing that I would not have to struggle financially during such a difficult time. Considering the amount we contribute compared to the benefits provided, it seems like a very worthwhile and practical solution. Overall, it feels like a valuable form of protection that can make a real difference when facing unexpected health challenges.

";"";"a. Definitely worth it";"";"a. Very confident";"";"b. No";"b. Slightly difficult";"";"c. Not applicable (I/my family have not needed medical care)";"f. Not applicable (I have not needed medical care)";"";"";"";"";"";"";"";"";"";"";"";"";"26";"c. Lower Secondary";"b. 4-6 People";"b. Female";"b. No";"a. Loans";"1";"0";"0";"0";"0";"0";"";"h. Other (please specify)";"0";"0";"0";"0";"0";"0";"0";"1";"Sells tomatoes on a bench and donuts.";"";"28124";"15e3c3b9-1e6e-4496-a613-84c0cdbcb5ac";"2026-03-19T12:57:33";"";"";"submitted_via_web";"edward_namagonya";"";"8"
"collect:I77spbebXJj0hawZ";"2026-03-19T14:38:33.246+02:00";"2026-03-19T15:06:18.248+02:00";"ida_golowa";"AFRICA";"Malawi";"AS 24076221";"MULANJE";"Health Insurance";"a. Yes, I agree to participate";"";"a. Very good";"a. Very good";"a. In-person explanation from MFI staff/loan officer e. Phone call from the MFI";"1";"0";"0";"0";"1";"0";"0";"";"a. Through an MFI officer coming to collect the documents";"";"";"b. No";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"a. Significantly reduced";"a. Yes";"e. Ability to continue normal daily activities (play, social life, learning) f. Increased savings after loss helped meet the children’s needs including clothing, shoes, and school supplies";"0";"0";"0";"0";"1";"1";"0";"";"";"8";"";"It covers unexpected losses  and creates  peace  of mind.";"";"a. Definitely worth it";"";"a. Very confident";"";"b. No";"b. Slightly difficult";"";"b. No";"b. Slightly lower";"";"";"";"";"";"";"";"";"";"";"";"";"30";"b. Upper Secondary";"b. 4-6 People";"b. Female";"b. No";"a. Loans";"1";"0";"0";"0";"0";"0";"";"a. Crop agriculture business e. Service provision business (e.g., salon, skilled/casual laborer, or transport business)";"1";"0";"0";"0";"1";"0";"0";"0";"";"";"28130";"ab0c0456-1a37-4f9e-82f5-f72b5d32e09f";"2026-03-19T13:06:28";"";"";"submitted_via_web";"ida_golowa";"";"9"
"collect:I77spbebXJj0hawZ";"2026-03-19T15:07:50.796+02:00";"2026-03-19T15:42:22.686+02:00";"ida_golowa";"AFRICA";"Malawi";"CC25555611";"MULANJE";"Health Insurance";"a. Yes, I agree to participate";"";"a. Very good";"a. Very good";"a. In-person explanation from MFI staff/loan officer e. Phone call from the MFI";"1";"0";"0";"0";"1";"0";"0";"";"a. Through an MFI officer coming to collect the documents";"";"";"b. No";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"a. Significantly reduced";"a. Yes";"a. Improved access to healthcare treatment and diagnosis f. Increased savings after loss helped meet the children’s needs including clothing, shoes, and school supplies e. Ability to continue normal daily activities (play, social life, learning)";"1";"0";"0";"0";"1";"1";"0";"";"";"8";"";"Support  during  emergencies,insurance  provide timely financial  assistance  when  you need it most.

It reduces  stress  and anxiety  about the future  thereby  providing  peace of mind.";"";"a. Definitely worth it";"";"a. Very confident";"";"b. No";"a. Very difficult";"";"b. No";"a. Much lower";"";"";"";"";"";"";"";"";"";"";"";"";"32";"b. Upper Secondary";"b. 4-6 People";"a. Male";"b. No";"a. Loans";"1";"0";"0";"0";"0";"0";"";"e. Service provision business (e.g., salon, skilled/casual laborer, or transport business)";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"28144";"19244421-ea43-4cc0-861a-173d86a65646";"2026-03-19T13:43:08";"";"";"submitted_via_web";"ida_golowa";"";"10"
