raw_index,raw_column_header,category,question_ref,parent_ref,notes
0,Device Info,keep_metadata,,,
1,start,keep_metadata,,,
2,end,keep_metadata,,,
3,Username,keep_metadata,,,
4,Region,keep_metadata,,,
5,Country,keep_metadata,,,
6,What is the client's ID number in our systems?,keep_metadata,,,
7,To which branch does the client belong?,keep_metadata,,,
8,Insurance_Type,keep_metadata,,,Key filter for type-specific section responses
9,"Before we start, I would like to explain this survey. [long consent text]...",drop_scaffold,,,Consent field; all respondents agreed — effectively constant
10,This section includes questions on the extent to which you understand...,drop_scaffold,,,Section header for understanding module
11,How would you rate your understanding of what your insurance covers?,question_ref,q_coverage_understanding,,
12,How you would you rate your understanding of how to make a claim?,question_ref,q_claim_process_understanding,,
13,Which communication channel is the most effective in increasing your awareness...,question_ref,q_comm_channel_effective,,Multi-select parent; binary children in cols 14–20
14,"Which communication channel.../a. In-person explanation from MFI staff/loan officer",multi_select_child,,q_comm_channel_effective,Binary (0/1) child
15,Which communication channel.../b. Group meeting,multi_select_child,,q_comm_channel_effective,Binary (0/1) child
16,Which communication channel.../c. SMS/WhatsApp messages from the MFI,multi_select_child,,q_comm_channel_effective,Binary (0/1) child
17,"Which communication channel.../d. Printed materials (leaflets, posters, brochures)",multi_select_child,,q_comm_channel_effective,Binary (0/1) child
18,Which communication channel.../e. Phone call from the MFI,multi_select_child,,q_comm_channel_effective,Binary (0/1) child
19,Which communication channel.../f. Email from the MFI,multi_select_child,,q_comm_channel_effective,Binary (0/1) child
20,Which communication channel.../g. Other (please specify),multi_select_child,,q_comm_channel_effective,Binary (0/1) child
21,"If other, please specify:",free_text_child,,q_comm_channel_effective,Other-specify follow-up to /g option (col 20)
22,Which channel do you prefer most for submitting insurance claims?,question_ref,q_claim_channel_preferred,,Single-select
23,"If other, please specify:",free_text_child,,q_claim_channel_preferred,Other-specify follow-up to col 22
24,I will now ask you questions regarding your experience when making an insurance claim.,drop_scaffold,,,Transition sentence
25,In the last 12 months did you experience an event that might be covered by your insurance?,question_ref,q_insured_event_12m,,
26,[If Yes] Did you submit an insurance claim for that event?,question_ref,q_claim_submitted,,Conditional on col 25 = Yes
27,"[If No, did not submit an insurance claim] What was the main reason you did not submit...",question_ref,q_no_claim_reason,,Conditional on col 26 = No; single-select
28,"If other, please specify:",free_text_child,,q_no_claim_reason,Other-specify follow-up to col 27
29,"[If Yes, submitted a claim] What was the result of the claim?",question_ref,q_claim_result,,Conditional on col 26 = Yes
30,"If [Claim was approved and paid] Considering all costs related to the event, how much...",question_ref,q_payout_cost_coverage,,Conditional on col 29 = approved/paid
31,[If filed a claim] Have you experienced any challenges with the claim process?,question_ref,q_claim_challenges_experienced,,Conditional on col 26 = Yes
32,[If yes] What challenges did you experience with the claim process?,question_ref,q_claim_challenges,,Multi-select parent; binary children in cols 33–38
33,"[If yes] What challenges.../a. Claim documents were difficult to collect from hospitals or...",multi_select_child,,q_claim_challenges,Binary (0/1) child
34,[If yes] What challenges.../b. Claim documents were difficult to submit,multi_select_child,,q_claim_challenges,Binary (0/1) child
35,[If yes] What challenges.../c. It was difficult to know the status of the claim...,multi_select_child,,q_claim_challenges,Binary (0/1) child
36,[If yes] What challenges.../d. It took a long time to receive the claim amount,multi_select_child,,q_claim_challenges,Binary (0/1) child
37,[If yes] What challenges.../e. I did not receive enough support or guidance...,multi_select_child,,q_claim_challenges,Binary (0/1) child
38,[If yes] What challenges.../f. Other (specify),multi_select_child,,q_claim_challenges,Binary (0/1) child
39,"If other, please specify:",free_text_child,,q_claim_challenges,Other-specify follow-up to /f option (col 38)
40,"[If e] What specific support would you need to make the claims process easier?",free_text_child,,q_claim_challenges,Follow-up specific to /e option of col 32; open-text
41,"[If yes to experiencing an insured event] Because of the event, did you have to do...",question_ref,q_coping_mechanisms,,Multi-select parent; binary children in cols 42–49
42,[If yes to insured event] Because of the event.../a. Use savings,multi_select_child,,q_coping_mechanisms,Binary (0/1) child
