raw_index,raw_column_header,category,question_ref,parent_ref,response_type,scope,output_name,notes
0,Device Info,keep_metadata,,,,,device_info,
1,start,keep_metadata,,,,,interview_start,
2,end,keep_metadata,,,,,interview_end,
3,Username,keep_metadata,,,,,enumerator,
4,Region,keep_metadata,,,,,region,
5,Country,keep_metadata,,,,,country,
6,Do you agree to participate in the interview?,question_ref,q_survey_consent,,binary,,,"LARCO wording differs from Africa (""interview"" not ""survey""); raw values are plain ""Yes""/""No"", not full sentences -- see binary_standalone in value_coding_map.yaml"
7,Please specify the reason:,free_text_child,,q_survey_consent,,,,Decline-consent reason follow-up; 0% filled in this export (100% of respondents consented)
8,What type of insurance claim(s) have you filed with VisionFund in the last 12 months? (select all that apply),keep_metadata,,,insurance_type_routing,,insurance_type_raw,"APPROXIMATE routing only -- LARCO has no single enrolled-product field like Africa's Insurance_Type. This records claims FILED history, not product enrollment. ~83% of respondents answered 'I did not file a claim' and will have no insurance_type slug (NaN) -- expected, not an error. Africa's health_only/crop_only/credit_life_only scoped follow-up questions (Africa cols 86-98) have no LARCO equivalents at all, so this field's main real job is populating the 'personal_accident' slug for the few LARCO-only Part 2 mentions. See value_coding_map.yaml for the exact combo-string mapping."
19,What type of insurance claim(s) have you filed with VisionFund in the last 12 months? (select all that apply)/I did not file a claim.1,question_ref,q_claim_submitted,,binary,,,"Live/active child of the claims-type multiselect. The 'all versions' KoBo export merge left a dead legacy duplicate block at cols 9-13 with IDENTICAL header text (zero variance, always '0'); pandas de-dupes same-named columns on read by suffixing the second occurrence '.1' (see mapping_diff.py's own docstring warning about this), so the header text here MUST include the '.1' suffix or build_index_resolver() silently text-matches onto the dead first occurrence instead (verified against the real export -- this is not hypothetical). This is the real one -- its 1126/230 true/false split matches col 8's own 'I did not file a claim' tally exactly. Raw values are '1'=did not file / '0'=did file, INVERTED via a LARCO-specific binary_standalone entry ('0'->true, '1'->false) so the output polarity matches Africa's q_claim_submitted (true = filed a claim) and analysis_engine/segments.py's claimant/non_claimant segment."
20,"If you have filed a claim, how would you rate your overall experience with the claim process provided by VisionFund?",question_ref,q_claim_experience_rating,,likert5,,,"LARCO-only construct, no Africa equivalent -- only asked of claimants (~17% fill, n=230). Scale: Very Good=1 (best) ... Very Poor=5 (worst)."
21,"If you have filed a claim, please explain your rating:",free_text_child,,q_claim_experience_rating,,,,Open-text explanation of the claim-experience rating (Spanish free text)
22,Which of the listed microfinance service(s) are you also currently accessing? (Select all that apply),question_ref,q_vf_services_received,,multi_select_parent,,,"Reused Africa's canonical parent name -- same underlying construct (other non-insurance VF services the client uses). Live children are cols 28-32 (see their own '.1' suffix note); cols 23-27 are a dead legacy duplicate block from the 'all versions' merge (zero variance) and are not mapped."
28,Which of the listed microfinance service(s) are you also currently accessing? (Select all that apply)/Microloans.1,multi_select_child,,q_vf_services_received,,,a,"'.1' suffix required -- see raw_index 19's note on pandas de-duping the 'all versions' merge's duplicate headers. output_name='a' is a letter override consumed by data_loader_transformer.py's Step e: LARCO's raw multi-select option headers (e.g. '.../Microloans') carry no 'x. ' letter prefix for extract_option_letter() to find, unlike Africa's."
29,Which of the listed microfinance service(s) are you also currently accessing? (Select all that apply)/Savings Accounts.1,multi_select_child,,q_vf_services_received,,,b,"'.1' suffix required -- see raw_index 28's note. output_name='b' letter override -- see raw_index 28's note."
30,"Which of the listed microfinance service(s) are you also currently accessing? (Select all that apply)/Other Health Services (telemedicine, education etc.).1",multi_select_child,,q_vf_services_received,,,c,"'.1' suffix required -- see raw_index 28's note. output_name='c' letter override -- see raw_index 28's note."
31,Which of the listed microfinance service(s) are you also currently accessing? (Select all that apply)/Financial Education.1,multi_select_child,,q_vf_services_received,,,d,"'.1' suffix required -- see raw_index 28's note. output_name='d' letter override -- see raw_index 28's note."
32,Which of the listed microfinance service(s) are you also currently accessing? (Select all that apply)/Other.1,multi_select_child,,q_vf_services_received,,,e,"'.1' suffix required -- see raw_index 28's note. output_name='e' letter override -- see raw_index 28's note."
33,How well do you understand your insurance product offered by VisionFund (including benefits and claim process)?,question_ref,q_product_understanding_combined,,single_select,,,"LARCO-only construct -- combines Africa's two separate q_coverage_understanding/q_claim_process_understanding items into one question with a different 6-option scale. This is the 'product understanding' trend indicator named in the manager's email. Raw text passes through unchanged (no letter prefix to strip); Part 10's trend calculator reads the raw labels directly rather than forcing them onto Africa's likert_4 scale."
34,To what extent has the insurance provided by VisionFund affected your stress and worries?,question_ref,q_financial_stress,,likert5,,,Reused Africa's canonical name/scale direction (1=most-reduced/best ... 5=most-increased/worst). LARCO's 5 options map cleanly onto Africa's construct.
